Name,,Org,Pos,,Current Level,Top 100,Org Rk,FV,,Age,Ht,Wt,Bat,Thr
Alec Bohm,,PHI,3B,,AA,42,1,50,,23.1,"6' 5""",240,R,R
George Valera,,CLE,CF,,A,43,1,50,,18.9,"6' 0""",190,L,L
CJ Abrams,,SDP,CF,,A,44,4,50,,19,"6' 2""",182,L,R
Julio Rodriguez,,SEA,RF,,A+,45,2,50,,18.7,"6' 3""",205,R,R
Mitch Keller,,PIT,RHP,,MLB,46,3,50,,23.5,"6' 3""",195,R,R
Nolan Jones,,CLE,3B,,AA,47,2,50,,21.4,"6' 4""",220,L,R
Jesus Sanchez,,MIA,RF,,AAA,48,4,50,,22,"6' 2""",185,L,R
Alex Kirilloff,,MIN,RF,,AA,49,2,50,,21.9,"6' 2""",195,L,L
Nico Hoerner,,CHC,2B,,MLB,50,1,50,,22.4,"5' 11""",195,R,R
Travis Swaggerty,,PIT,CF,,A+,51,4,50,,22.1,"5' 11""",180,L,L
Jonathan India,,CIN,3B,,AA,52,1,50,,22.8,"6' 0""",200,R,R
Heliot Ramos,,SFG,RF,,AA,53,3,50,,20.1,"6' 2""",200,R,R
Tyler Stephenson,,CIN,C,,AA,54,2,50,,23.1,"6' 4""",210,R,R
Trevor Larnach,,MIN,RF,,AA,55,3,50,,22.6,"6' 4""",215,L,R
Logan Gilbert,,SEA,RHP,,AA,56,3,50,,22.4,"6' 5""",195,R,R
Spencer Howard,,PHI,RHP,,AA,57,2,50,,23.2,"6' 3""",205,R,R
Miguel Amaya,,CHC,C,,A+,58,2,50,,20.5,"6' 1""",185,R,R
Jasson Dominguez,,NYY,CF,,,59,1,50,,16.6,"5' 11""",194,S,R
Kristian Robinson,,ARI,CF,,A,60,1,50,,18.8,"6' 3""",190,R,R
Kyle Wright,,ATL,RHP,,MLB,61,4,50,,24,"6' 4""",200,R,R
Deivi Garcia,,NYY,RHP,,AAA,62,2,50,,20.4,"5' 10""",163,R,R
Daulton Varsho,,ARI,C,,AA,63,2,50,,23.2,"5' 10""",190,L,R
Matthew Liberatore,,TBR,LHP,,A,64,4,50,,19.9,"6' 5""",200,L,L
Shane Baz,,TBR,RHP,,A,65,5,50,,20.3,"6' 3""",190,R,R
Brusdar Graterol,,MIN,RHP,,MLB,66,4,50,,21.1,"6' 1""",180,R,R
DL Hall,,BAL,LHP,,A+,67,2,50,,21,"6' 0""",185,L,L
Ronaldo Hernandez,,TBR,C,,A+,68,6,50,,21.9,"6' 1""",195,R,R
Brent Honeywell Jr.,,TBR,RHP,,AAA,69,7,50,,24.5,"6' 2""",180,R,R
Bryse Wilson,,ATL,RHP,,MLB,70,5,50,,21.8,"6' 1""",224,R,R
Hunter Greene,,CIN,RHP,,A+,71,3,50,,20.1,"6' 4""",197,R,R
Brayan Rocchio,,CLE,SS,,A-,72,3,50,,18.7,"5' 10""",150,S,R
Riley Greene,,DET,RF,,A,73,3,50,,19,"6' 2""",190,L,L
Mark Vientos,,NYM,3B,,A,74,2,50,,19.8,"6' 4""",185,R,R
Brandon Marsh,,LAA,CF,,AA,75,2,50,,21.8,"6' 2""",200,L,R
Alek Thomas,,ARI,CF,,A+,76,3,50,,19.4,"5' 11""",175,L,L
Andres Gimenez,,NYM,SS,,AA,77,3,50,,21.1,"5' 11""",165,L,R
Evan White,,SEA,1B,,AA,78,4,50,,23.4,"6' 3""",205,R,L
William Contreras,,ATL,C,,AA,79,6,50,,21.8,"6' 0""",180,R,R
Grayson Rodriguez,,BAL,RHP,,A,80,3,50,,19.9,"6' 5""",230,L,R
Jhoan Duran,,MIN,RHP,,AA,81,5,50,,21.7,"6' 5""",230,R,R
Isaac Paredes,,DET,3B,,AA,82,4,50,,20.6,"5' 11""",225,R,R
Jordan Groshans,,TOR,3B,,A,83,2,50,,19.9,"6' 4""",190,R,R
Brice Turang,,MIL,SS,,A+,84,1,50,,19.8,"6' 1""",170,L,R
Xavier Edwards,,SDP,2B,,A+,85,5,50,,20.1,"5' 9""",160,S,R
Aramis Ademan,,CHC,SS,,A+,86,3,50,,21,"5' 11""",160,L,R
Nick Lodolo,,CIN,LHP,,R,87,4,50,,21.6,"6' 6""",195,L,L
Josiah Gray,,LAD,RHP,,AA,88,4,50,,21.8,"6' 1""",210,R,R
Yusniel Diaz,,BAL,RF,,AA,89,4,50,,23,"6' 1""",195,R,R
Jeter Downs,,LAD,2B,,AA,90,5,50,,21.2,"5' 11""",180,R,R
Triston Casas,,BOS,1B,,A+,91,1,50,,19.7,"6' 4""",238,L,R
Geraldo Perdomo,,ARI,SS,,A+,92,4,50,,19.9,"6' 2""",184,R,R
Luis Campusano,,SDP,C,,A+,93,6,50,,21,"6' 0""",195,R,R
Justin Dunn,,SEA,RHP,,MLB,94,5,50,,24,"6' 2""",210,R,R
Luis Garcia,,WSN,SS,,AA,95,2,50,,19.4,"6' 0""",180,L,R
Logan Allen,,CLE,LHP,,AAA,96,4,50,,22.3,"6' 3""",200,R,L
Adonis Medina,,PHI,RHP,,AA,97,3,50,,22.8,"6' 1""",185,R,R
Corbin Martin,,ARI,RHP,,AAA,98,5,50,,23.7,"6' 2""",200,R,R
Monte Harrison,,MIA,CF,,AAA,99,5,50,,24.1,"6' 3""",220,R,R
Ryan Mountcastle,,BAL,LF,,AAA,100,5,50,,22.6,"6' 3""",185,R,R
Edward Cabrera,,MIA,RHP,,AA,101,6,50,,21.5,"6' 4""",175,R,R
Andrew Knizner,,STL,C,,MLB,102,3,50,,24.6,"6' 1""",200,R,R
Hudson Potts,,SDP,3B,,AA,103,7,50,,20.9,"6' 3""",205,R,R
Tony Santillan,,CIN,RHP,,AA,104,5,50,,22.4,"6' 3""",240,R,R
Nick Solak,,TEX,2B,,MLB,105,1,50,,24.7,"5' 11""",175,R,R
J.B. Bukauskas,,ARI,RHP,,AA,106,6,50,,23,"6' 0""",196,R,R
Justus Sheffield,,SEA,LHP,,MLB,107,6,50,,23.4,"5' 10""",195,L,L
Estevan Florial,,NYY,CF,,A+,0,3,45+,,21.8,"6' 1""",185,L,R
Jordyn Adams,,LAA,CF,,A+,0,3,45+,,19.9,"6' 2""",180,R,R
Hunter Bishop,,SFG,CF,,A-,0,4,45+,,21.3,"6' 5""",210,L,R
Logan Webb,,SFG,RHP,,MLB,0,5,45+,,22.9,"6' 2""",220,R,R
Alexander Canario,,SFG,RF,,A-,0,6,45+,,19.4,"6' 1""",165,R,R
Jose Garcia,,CIN,SS,,A+,0,6,45+,,21.5,"6' 2""",175,R,R
Tony Gonsolin,,LAD,RHP,,MLB,0,6,45+,,25.4,"6' 2""",180,R,R
Corbin Carroll,,ARI,CF,,A-,0,7,45+,,19.1,"5' 10""",165,L,L
Bo Naylor,,CLE,C,,A,0,5,45+,,19.6,"6' 0""",205,L,R
Liover Peguero,,ARI,SS,,A-,0,8,45+,,18.7,"6' 1""",160,R,R
Tyler Freeman,,CLE,SS,,A+,0,6,45+,,20.3,"6' 0""",170,R,R
Jon Duplantier,,ARI,RHP,,MLB,0,9,45+,,25.2,"6' 4""",225,R,R
Triston McKenzie,,CLE,RHP,,A+,0,7,45+,,22.2,"6' 5""",160,R,R
Taylor Widener,,ARI,RHP,,AAA,0,10,45+,,24.9,"6' 0""",195,R,R
Nick Neidert,,MIA,RHP,,AAA,0,7,45+,,22.9,"6' 1""",180,R,R
Bryson Stott,,PHI,SS,,A-,0,4,45+,,22,"6' 3""",195,L,R
Luis Garcia,,PHI,SS,,A,0,5,45+,,18.9,"5' 11""",170,S,R
Josh Lowe,,TBR,CF,,AA,0,8,45+,,21.7,"6' 4""",190,L,R
Shane McClanahan,,TBR,LHP,,AA,0,9,45+,,22.4,"6' 1""",173,L,L
Ryan Rolison,,COL,LHP,,A+,0,2,45+,,22.2,"6' 2""",195,R,L
Kyle Muller,,ATL,LHP,,AA,0,7,45+,,22,"6' 6""",215,R,L
Tristen Lutz,,MIL,RF,,R,0,2,45+,,21.1,"6' 3""",210,R,R
Josh Jung,,TEX,3B,,A,0,2,45+,,21.6,"6' 2""",215,R,R
Sherten Apostel,,TEX,3B,,A+,0,3,45+,,20.5,"6' 4""",213,R,R
Leody Taveras,,TEX,CF,,AA,0,4,45+,,21.1,"6' 1""",170,S,R
Cole Winn,,TEX,RHP,,A,0,5,45+,,19.8,"6' 2""",195,R,R
Bubba Thompson,,TEX,CF,,A+,0,6,45+,,21.3,"6' 2""",180,R,R
Anderson Tejeda,,TEX,SS,,A+,0,7,45+,,21.4,"5' 11""",160,S,R
Tucupita Marcano,,SDP,SS,,A+,0,8,45+,,20,"6' 0""",165,L,R
Jeisson Rosario,,SDP,CF,,A+,0,9,45+,,19.9,"5' 11""",170,L,L
Ryan Weathers,,SDP,LHP,,A,0,10,45+,,19.9,"6' 2""",210,R,L
Adrian Morejon,,SDP,LHP,,MLB,0,11,45+,,20.6,"5' 11""",165,R,R
Tirso Ornelas,,SDP,LF,,A+,0,12,45+,,19.5,"6' 4""",180,L,R
Adbert Alzolay,,CHC,RHP,,A,0,4,45+,,24.6,"6' 0""",180,R,R
Brennen Davis,,CHC,CF,,A,0,5,45+,,19.9,"6' 4""",175,R,R
Alek Manoah,,TOR,RHP,,,0,3,45+,,21.7,"6' 6""",250,R,R
Brailyn Marquez,,CHC,LHP,,A+,0,6,45+,,20.7,"6' 4""",185,L,L
Simeon Woods Richardson,,TOR,RHP,,A+,0,4,45+,,19,"6' 3""",210,R,R
Brett Baty,,NYM,3B,,A-,0,4,45+,,19.9,"6' 3""",210,L,R
Brady Singer,,KCR,RHP,,AA,0,2,45+,,23.1,"6' 5""",180,R,R
Daniel Lynch,,KCR,LHP,,A+,0,3,45+,,22.9,"6' 4""",195,L,L
Kyle Lewis,,SEA,RF,,MLB,0,7,45,,24.2,"6' 4""",210,R,R
George Kirby,,SEA,RHP,,A-,0,8,45,,21.6,"6' 4""",210,R,R
Kevin Alcantara,,NYY,CF,,R,0,4,45,,17.2,"6' 5""",175,R,R
Alexander Vargas,,NYY,SS,,R,0,5,45,,17.9,"6' 0""",150,S,R
Antonio Cabello,,NYY,CF,,R,0,6,45,,18.9,"5' 10""",160,R,R
Everson Pereira,,NYY,CF,,A-,0,7,45,,18.5,"6' 0""",190,R,R
Wil Crowe,,WSN,RHP,,AAA,0,3,45,,25,"6' 2""",240,R,R
Anthony Seigler,,NYY,C,,A,0,8,45,,20.3,"6' 0""",190,S,S
Jackson Rutledge,,WSN,RHP,,A,0,4,45,,20.5,"6' 8""",260,R,R
Luis Gil,,NYY,RHP,,A+,0,9,45,,21.3,"6' 3""",175,R,R
Mason Denaburg,,WSN,RHP,,R,0,5,45,,20.1,"6' 3""",190,R,R
Dane Dunning,,CHW,RHP,,AA,0,5,45,,24.8,"6' 4""",200,R,R
Roansy Contreras,,NYY,RHP,,A,0,10,45,,19.9,"6' 0""",175,R,R
Luis Alexander Basabe,,CHW,CF,,AA,0,6,45,,23.1,"6' 0""",170,S,R
Clarke Schmidt,,NYY,RHP,,AA,0,11,45,,23.6,"6' 1""",205,R,R
Blake Rutherford,,CHW,LF,,AA,0,7,45,,22.4,"6' 3""",195,L,R
Anthony Volpe,,NYY,SS,,R,0,12,45,,18.4,"5' 11""",180,R,R
Luis Gonzalez,,CHW,RF,,AA,0,8,45,,24,"6' 1""",185,L,L
Luis Medina,,NYY,RHP,,A+,0,13,45,,20.4,"6' 1""",175,R,R
Will Wilson,,LAA,2B,,R,0,4,45,,21.2,"6' 0""",175,R,R
Jahmai Jones,,LAA,2B,,AA,0,5,45,,22.1,"5' 11""",210,R,R
Jeremiah Jackson,,LAA,3B,,R,0,6,45,,19.5,"6' 0""",175,R,R
Jose Soriano,,LAA,RHP,,A,0,7,45,,20.9,"6' 3""",168,R,R
Mauricio Dubon,,SFG,SS,,MLB,0,7,45,,25.2,"6' 0""",160,R,R
Gregory Santos,,SFG,RHP,,A,0,8,45,,20.1,"6' 2""",190,R,R
Michael Siani,,CIN,CF,,A,0,7,45,,20.2,"5' 11""",190,L,R
Jose Siri,,CIN,CF,,AAA,0,8,45,,24.2,"6' 2""",175,R,R
Jameson Hannah,,CIN,CF,,A+,0,9,45,,22.1,"5' 11""",190,L,L
Tyler Callihan,,CIN,3B,,R,0,10,45,,19.3,"6' 1""",200,L,R
Omar Estevez,,LAD,2B,,AA,0,7,45,,21.6,"5' 10""",185,R,R
Kody Hoese,,LAD,3B,,A,0,8,45,,22.2,"6' 4""",200,R,R
Robert Puason,,OAK,SS,,,0,4,45,,17,"6' 3""",185,S,R
Michael Busch,,LAD,1B,,A,0,9,45,,21.9,"6' 0""",207,L,R
Austin Beck,,OAK,CF,,A+,0,5,45,,20.8,"6' 1""",200,R,R
Diego Cartaya,,LAD,C,,R,0,10,45,,18.1,"6' 2""",200,R,R
Jorge Mateo,,OAK,CF,,AAA,0,6,45,,24.3,"6' 0""",188,R,R
Logan Davidson,,OAK,SS,,A-,0,7,45,,21.8,"6' 3""",185,S,R
Zack Thompson,,STL,LHP,,A+,0,4,45,,21.9,"6' 2""",225,S,L
Luis Oviedo,,CLE,RHP,,A,0,8,45,,20.4,"6' 4""",200,R,R
Blake Walston,,ARI,LHP,,A-,0,11,45,,18.2,"6' 4""",175,L,L
Daniel Espino,,CLE,RHP,,A-,0,9,45,,18.7,"6' 2""",200,R,R
Brennan Malone,,ARI,RHP,,A-,0,12,45,,19.1,"6' 5""",210,R,R
Yu Chang,,CLE,SS,,MLB,0,10,45,,24.1,"6' 1""",175,R,R
Seth Beer,,ARI,1B,,AA,0,13,45,,23,"6' 3""",195,L,R
Daniel Johnson,,CLE,CF,,AAA,0,11,45,,24.2,"5' 10""",185,L,L
Sam Hentges,,CLE,LHP,,AA,0,12,45,,23.2,"6' 6""",245,L,L
Lenny Torres,,CLE,RHP,,R,0,13,45,,18.9,"6' 2""",190,R,R
Carlos Vargas,,CLE,RHP,,A-,0,14,45,,20,"6' 3""",180,R,R
Connor Scott,,MIA,CF,,A+,0,8,45,,20,"6' 4""",185,L,L
Nasim Nunez,,MIA,SS,,A-,0,9,45,,19.1,"5' 9""",165,S,R
Braxton Garrett,,MIA,LHP,,AA,0,10,45,,22.1,"6' 3""",190,L,L
Jose Devers,,MIA,2B,,A,0,11,45,,19.8,"6' 0""",155,L,R
Kameron Misner,,MIA,RF,,A,0,12,45,,21.7,"6' 4""",219,L,L
Simon Muzziotti,,PHI,CF,,A+,0,6,45,,20.7,"6' 1""",175,L,L
Lewin Diaz,,MIA,1B,,AA,0,13,45,,22.9,"6' 4""",225,L,L
Francisco Morales,,PHI,RHP,,A,0,7,45,,19.9,"6' 4""",185,R,R
JoJo Romero,,PHI,LHP,,AAA,0,8,45,,23,"5' 10""",190,L,L
Enyel De Los Santos,,PHI,RHP,,MLB,0,9,45,,23.8,"6' 3""",200,R,R
Lucius Fox,,TBR,SS,,AA,0,10,45,,22.2,"6' 1""",175,S,R
Moises Gomez,,TBR,RF,,A+,0,11,45,,21.1,"5' 11""",200,R,R
Greg Jones,,TBR,SS,,A-,0,12,45,,21.6,"5' 11""",170,S,R
Taylor Walls,,TBR,SS,,AA,0,13,45,,23.2,"5' 10""",180,S,R
Colton Welker,,COL,1B,,AA,0,3,45,,22,"6' 2""",195,R,R
Resly Linares,,TBR,LHP,,A+,0,15,45,,21.8,"6' 2""",170,L,L
Ryan Vilade,,COL,SS,,A+,0,4,45,,20.6,"6' 2""",194,R,R
Anthony Banda,,TBR,LHP,,MLB,0,16,45,,26.1,"6' 2""",190,L,L
Tyler Nevin,,COL,1B,,AA,0,5,45,,22.3,"6' 4""",200,R,R
Nick Schnell,,TBR,CF,,A,0,17,45,,19.5,"6' 2""",180,L,R
JJ Goss,,TBR,RHP,,R,0,18,45,,18.8,"6' 3""",185,R,R
Tyler Frank,,TBR,2B,,A+,0,19,45,,22.7,"6' 0""",185,R,R
Shea Langeliers,,ATL,C,,A,0,8,45,,21.9,"6' 0""",190,R,R
Zack Brown,,MIL,RHP,,AAA,0,3,45,,24.8,"6' 1""",180,R,R
Mario Feliciano,,MIL,C,,AA,0,4,45,,20.9,"6' 1""",200,R,R
Quinn Priester,,PIT,RHP,,A-,0,5,45,,19,"6' 3""",190,R,R
Tahnaj Thomas,,PIT,RHP,,R,0,6,45,,20.3,"6' 4""",190,R,R
Kevin Kramer,,PIT,2B,,MLB,0,7,45,,26,"6' 1""",190,L,R
Cal Mitchell,,PIT,LF,,A+,0,8,45,,20.6,"6' 0""",190,L,L
Daz Cameron,,DET,CF,,AAA,0,5,45,,22.7,"6' 2""",195,R,R
Tarik Skubal,,DET,LHP,,AA,0,6,45,,22.9,"6' 3""",215,L,L
Willi Castro,,DET,SS,,MLB,0,7,45,,22.4,"6' 1""",165,S,R
Wenceel Perez,,DET,SS,,A,0,8,45,,19.9,"5' 11""",170,S,R
Franklin Perez,,DET,RHP,,A+,0,9,45,,21.8,"6' 3""",197,R,R
Austin Hays,,BAL,RF,,MLB,0,6,45,,24.2,"6' 0""",205,R,R
Joey Wentz,,DET,LHP,,AA,0,10,45,,22,"6' 5""",209,L,L
Kyle Stowers,,BAL,RF,,A-,0,7,45,,21.7,"6' 3""",205,L,L
Keegan Akin,,BAL,LHP,,AAA,0,8,45,,24.5,"6' 0""",225,L,L
Zac Lowther,,BAL,LHP,,AA,0,9,45,,23.4,"6' 2""",235,L,L
Ryan McKenna,,BAL,CF,,AA,0,10,45,,22.6,"5' 11""",185,R,R
Dean Kremer,,BAL,RHP,,AAA,0,11,45,,23.7,"6' 3""",180,R,R
Hans Crouse,,TEX,RHP,,A,0,8,45,,21,"6' 4""",180,L,R
Joe Palumbo,,TEX,LHP,,MLB,0,9,45,,24.9,"6' 1""",168,L,L
Taylor Hearn,,TEX,LHP,,MLB,0,10,45,,25.1,"6' 5""",210,L,L
Yerry Rodriguez,,TEX,RHP,,A,0,11,45,,21.9,"6' 2""",180,R,R
Julio Pablo Martinez,,TEX,CF,,A+,0,12,45,,23.5,"5' 11""",190,L,L
Keoni Cavaco,,MIN,3B,,R,0,6,45,,18.3,"6' 0""",185,R,R
Ryan Jeffers,,MIN,C,,AA,0,7,45,,22.6,"6' 4""",225,R,R
Wander Javier,,MIN,SS,,A,0,8,45,,20.7,"6' 1""",185,R,R
Jose Miranda,,MIN,2B,,AA,0,9,45,,21.2,"6' 2""",180,R,R
Bryan Mata,,BOS,RHP,,AA,0,2,45,,20.4,"6' 3""",175,R,R
Yunior Severino,,MIN,2B,,A,0,10,45,,20,"6' 1""",180,S,R
Matthew Lugo,,BOS,SS,,A-,0,3,45,,18.4,"6' 1""",185,R,R
Cionel Perez,,HOU,LHP,,MLB,0,3,45,,23.4,"5' 11""",170,L,L
Jordan Balazovic,,MIN,RHP,,AA,0,11,45,,21,"6' 4""",175,R,R
Bobby Dalbec,,BOS,3B,,AAA,0,4,45,,24.2,"6' 4""",225,R,R
Freudis Nova,,HOU,SS,,A,0,4,45,,19.7,"6' 1""",180,R,R
Jarren Duran,,BOS,CF,,AA,0,5,45,,23.1,"6' 2""",200,L,R
Bryan Abreu,,HOU,RHP,,MLB,0,5,45,,22.4,"6' 1""",175,R,R
Brandon Bielak,,HOU,RHP,,AAA,0,6,45,,23.4,"6' 1""",210,R,R
Esteury Ruiz,,SDP,2B,,A+,0,13,45,,20.6,"6' 0""",150,R,R
Reggie Lawson,,SDP,RHP,,AA,0,14,45,,22.2,"6' 4""",205,R,R
Austin Allen,,SDP,C,,MLB,0,15,45,,25.7,"6' 2""",220,L,R
Michel Baez,,SDP,RHP,,MLB,0,16,45,,23.7,"6' 8""",220,R,R
Anderson Espinoza,,SDP,RHP,,,0,17,45,,21.5,"6' 0""",170,R,R
Cole Roederer,,CHC,CF,,A,0,7,45,,20,"6' 0""",175,L,L
Anthony Kay,,TOR,LHP,,MLB,0,5,45,,24.5,"6' 0""",218,L,L
Justin Steele,,CHC,LHP,,AA,0,8,45,,24.2,"6' 2""",195,L,L
Adam Kloffenstein,,TOR,RHP,,A-,0,6,45,,19.1,"6' 5""",220,R,R
Eric Pardinho,,TOR,RHP,,A,0,7,45,,18.7,"5' 10""",170,R,R
Shervyen Newton,,NYM,SS,,A,0,5,45,,20.4,"6' 4""",180,S,R
David Peterson,,NYM,LHP,,AA,0,6,45,,24.1,"6' 6""",240,L,L
Matthew Allan,,NYM,RHP,,,0,7,45,,18.4,"6' 3""",210,R,R
Nick Pratto,,KCR,1B,,A+,0,4,45,,21,"6' 1""",195,L,L
Thomas Szapucki,,NYM,LHP,,AA,0,8,45,,23.3,"6' 2""",190,R,L
Khalil Lee,,KCR,RF,,AA,0,5,45,,21.3,"5' 10""",190,L,L
Kris Bubic,,KCR,LHP,,A+,0,6,45,,22.1,"6' 3""",220,L,L
Jackson Kowar,,KCR,RHP,,AA,0,7,45,,23,"6' 5""",180,R,R
Kyle Isbel,,KCR,RF,,A+,0,8,45,,22.6,"5' 11""",190,L,R
Noelvi Marte,,SEA,SS,,R,0,9,40+,,17.9,"6' 1""",180,R,R
Jake Fraley,,SEA,LF,,MLB,0,10,40+,,24.3,"6' 0""",195,L,L
Cal Raleigh,,SEA,C,,AA,0,11,40+,,22.8,"6' 3""",225,R,R
Sam Carlson,,SEA,RHP,,A,0,12,40+,,20.8,"6' 4""",195,R,R
Zack Collins,,CHW,1B,,MLB,0,9,40+,,24.6,"6' 3""",220,L,R
Osiel Rodriguez,,NYY,RHP,,R,0,14,40+,,17.8,"6' 3""",205,R,R
Micker Adolfo,,CHW,RF,,R,0,10,40+,,23,"6' 3""",200,R,R
Steele Walker,,CHW,LF,,A+,0,11,40+,,23.2,"5' 11""",190,L,L
Kyren Paris,,LAA,SS,,R,0,8,40+,,17.9,"6' 0""",170,R,R
D'Shawn Knowles,,LAA,CF,,R,0,9,40+,,18.7,"6' 0""",165,S,R
Chris Rodriguez,,LAA,RHP,,A+,0,10,40+,,21.2,"6' 1""",185,R,R
Trent Deveaux,,LAA,CF,,R,0,11,40+,,19.4,"6' 2""",160,R,R
Stiward Aquino,,LAA,RHP,,R,0,12,40+,,20.3,"6' 6""",190,R,R
Sean Hjelle,,SFG,RHP,,AA,0,9,40+,,22.4,"6' 11""",215,R,R
Melvin Adon,,SFG,RHP,,AAA,0,10,40+,,25.3,"6' 3""",235,R,R
P.J. Hilson,,SFG,CF,,R,0,11,40+,,19.1,"5' 11""",175,R,R
Luis Matos,,SFG,CF,,R,0,12,40+,,17.7,"5' 11""",160,R,R
Joe McCarthy,,SFG,LF,,AAA,0,13,40+,,25.6,"6' 3""",225,L,L
Camilo Doval,,SFG,RHP,,A+,0,14,40+,,22.2,"6' 2""",185,R,R
Lyon Richardson,,CIN,RHP,,A,0,11,40+,,19.7,"6' 2""",185,S,R
DJ Peters,,LAD,CF,,AAA,0,11,40+,,23.8,"6' 6""",225,R,R
Luis Rodriguez,,LAD,CF,,,0,12,40+,,17,"6' 2""",175,R,R
Lazaro Armenteros,,OAK,LF,,A+,0,8,40+,,20.3,"6' 0""",182,R,R
Dennis Santana,,LAD,RHP,,AAA,0,13,40+,,23.5,"6' 2""",160,R,R
Sheldon Neuse,,OAK,3B,,MLB,0,9,40+,,24.8,"6' 0""",195,R,R
Connor Wong,,LAD,C,,AA,0,14,40+,,23.4,"6' 1""",180,R,R
Nick Allen,,OAK,SS,,A+,0,10,40+,,21,"5' 9""",155,R,R
Jacob Amaya,,LAD,SS,,A+,0,15,40+,,21.1,"6' 0""",180,R,R
Alex De Jesus,,LAD,3B,,R,0,16,40+,,17.5,"6' 2""",170,R,R
Andy Pages,,LAD,RF,,R,0,17,40+,,18.8,"6' 1""",180,R,R
Jeren Kendall,,LAD,CF,,A+,0,18,40+,,23.6,"6' 0""",190,L,R
Elehuris Montero,,STL,3B,,AA,0,5,40+,,21.1,"6' 3""",195,R,R
Ivan Herrera,,STL,C,,A+,0,6,40+,,19.3,"6' 0""",180,R,R
Lane Thomas,,STL,CF,,MLB,0,7,40+,,24.1,"6' 1""",210,R,R
Jhon Torres,,STL,RF,,R,0,8,40+,,19.5,"6' 4""",200,R,R
