Job Code,Project,Element,Description,Vendor,Part#,Quantity,Cost,PO,DateToArrive,DateReceived
18-104,Project One,-9,Part 25,Pacer,829334,6,16283,PO #00025,,
18-104,Project One,-4,Part 26,Expeditors,484524,35,3857,PO #00026,,
18-104,Project One,-3,Part 27,McMaster-Carr,631600,70,5262,PO #00027,,
18-104,Project One,-9,Part 28,Amazon,777257,3,14695,PO #00028,,
18-104,Project One,-10,Part 29,Crosscut,867458,33,13022,PO #00029,,
18-104,Project One,-2,Part 30,Pacer,472522,95,19599,PO #00030,,
18-104,Project One,0,Part 31,Global Industrial,655700,35,5204,PO #00031,,
18-104,Project One,-6,Part 32,Crosscut,300543,10,21171,PO #00032,,
18-104,Project One,-4,Part 33,Pacer,787884,45,12809,PO #00033,,
18-104,Project One,-6,Part 34,Expeditors,377350,19,12768,PO #00034,,
18-104,Project One,-10,Part 35,McMaster-Carr,439715,14,8330,PO #00035,,
18-104,Project One,-2,Part 36,Amazon,178729,89,21619,PO #00036,,
18-104,Project One,-3,Part 37,McMaster-Carr,145640,100,769,PO #00037,,
18-104,Project One,-6,Part 38,Amazon,346946,70,16940,PO #00038,,
18-104,Project One,0,Part 39,Global Industrial,302332,69,15634,PO #00039,,
18-104,Project One,-9,Part 40,Crosscut,573201,71,11480,PO #00040,,
18-104,Project One,-3,Part 41,Pacer,801849,0,9791,PO #00041,,
18-104,Project One,-6,Part 42,Expeditors,298320,34,8497,PO #00042,,
18-104,Project One,-3,Part 43,McMaster-Carr,679614,54,6715,PO #00043,,
18-104,Project One,-7,Part 44,Amazon,963208,44,11676,PO #00044,,
18-104,Project One,-2,Part 45,Global Industrial,477573,31,2003,PO #00045,,
18-104,Project One,-3,Part 46,Crosscut,438575,47,19901,PO #00046,,
18-104,Project One,-1,Part 47,Pacer,202721,45,6584,PO #00047,,
18-104,Project One,-8,Part 48,Global Industrial,763368,75,8736,PO #00048,,
18-104,Project One,-7,Part 49,Crosscut,161250,100,846,PO #00049,,
18-104,Project One,0,Part 50,Pacer,465109,19,15535,PO #00050,,
18-104,Project One,0,Part 51,Expeditors,420337,69,23464,PO #00051,,
18-104,Project One,-8,Part 52,McMaster-Carr,520443,97,13979,PO #00052,,
18-104,Project One,-4,Part 53,Amazon,190318,97,14362,PO #00053,,
18-104,Project One,-10,Part 54,Global Industrial,981639,19,4401,PO #00054,,
18-104,Project One,-7,Part 55,Crosscut,665315,79,24358,PO #00055,,
18-104,Project One,-3,Part 56,Pacer,690494,75,21101,PO #00056,,
18-104,Project One,-2,Part 57,Expeditors,315582,69,7138,PO #00057,,
18-104,Project One,-2,Part 58,McMaster-Carr,463122,65,24927,PO #00058,,
18-104,Project One,-6,Part 59,Amazon,503150,40,18470,PO #00059,,
18-104,Project One,-1,Part 60,Global Industrial,256233,79,24536,PO #00060,,
18-104,Project One,-8,Part 61,Crosscut,425979,84,3764,PO #00061,,
18-104,Project One,-4,Part 62,Pacer,849372,34,21064,PO #00062,,
18-104,Project One,-8,Part 63,Global Industrial,518249,36,19058,PO #00063,,
18-104,Project One,0,Part 64,Crosscut,535935,65,10695,PO #00064,,
18-104,Project One,-6,Part 65,Pacer,115976,23,609,PO #00065,,
18-104,Project One,-4,Part 66,Expeditors,991017,76,14422,PO #00066,,
18-104,Project One,-7,Part 67,McMaster-Carr,752369,65,3649,PO #00067,,
18-104,Project One,-7,Part 68,Amazon,402670,26,14188,PO #00068,,
18-104,Project One,-4,Part 69,Global Industrial,598895,29,19525,PO #00069,,
18-104,Project One,-5,Part 70,Crosscut,199748,80,16158,PO #00070,,
18-104,Project One,-7,Part 71,Pacer,837619,96,23493,PO #00071,,
18-104,Project One,-6,Part 72,Expeditors,818835,67,22413,PO #00072,,
18-104,Project One,0,Part 73,McMaster-Carr,978739,8,20026,PO #00073,,
18-104,Project One,-9,Part 74,Amazon,741442,38,8882,PO #00074,,
18-104,Project One,-8,Part 75,Global Industrial,145388,95,2349,PO #00075,,
18-104,Project One,-6,Part 76,Crosscut,763701,72,24370,PO #00076,,
18-104,Project One,-9,Part 77,Pacer,451910,72,4598,PO #00077,,
18-104,Project One,-3,Part 78,Global Industrial,840664,26,13186,PO #00078,,
18-104,Project One,-3,Part 79,Crosscut,401707,34,18710,PO #00079,,
18-104,Project One,-3,Part 80,Pacer,768466,82,9161,PO #00080,,
18-104,Project One,-6,Part 81,Expeditors,565787,22,24790,PO #00081,,
18-104,Project One,-8,Part 82,McMaster-Carr,714655,16,1579,PO #00082,,
18-104,Project One,-2,Part 83,Amazon,576177,62,10333,PO #00083,,
18-104,Project One,-7,Part 84,Global Industrial,566549,1,4884,PO #00084,,
18-104,Project One,-1,Part 85,Crosscut,574341,67,5569,PO #00085,,
18-104,Project One,-1,Part 86,Pacer,377637,48,14337,PO #00086,,
18-104,Project One,-9,Part 87,Expeditors,221413,77,784,PO #00087,,
18-104,Project One,-9,Part 88,McMaster-Carr,432938,88,22393,PO #00088,,
18-104,Project One,-10,Part 89,Amazon,200966,49,21649,PO #00089,,
18-104,Project One,-7,Part 90,Global Industrial,523150,79,4007,PO #00090,,
18-104,Project One,-6,Part 91,Crosscut,809721,100,9451,PO #00091,,
18-104,Project One,-2,Part 92,Pacer,252071,92,12422,PO #00092,,
18-104,Project One,-6,Part 93,Global Industrial,638493,17,9772,PO #00093,,
18-104,Project One,-3,Part 94,Crosscut,367165,73,13563,PO #00094,,
18-104,Project One,-2,Part 95,Pacer,459138,42,13265,PO #00095,,
18-104,Project One,0,Part 96,Expeditors,871067,90,12139,PO #00096,,
18-104,Project One,-10,Part 97,Souers,385717,61,16367,PO #00097,,
18-104,Project One,-7,Part 98,Home Depot,402312,90,6779,PO #00098,,
18-104,Project One,-7,Part 99,Global Industrial,267996,24,14695,PO #00099,,
18-104,Project One,-10,Part 100,Crosscut,358423,71,4263,PO #00100,,
18-104,Project One,-1,Part 101,Pacer,936802,28,1105,PO #00101,,
18-104,Project One,-1,Part 102,Expeditors,638734,65,12722,PO #00102,,
18-104,Project One,-10,Part 103,Souers,677479,55,1279,PO #00103,,
18-104,Project One,-8,Part 104,Home Depot,910180,2,15480,PO #00104,,
18-104,Project One,-6,Part 105,Global Industrial,816805,92,20768,PO #00105,,
18-104,Project One,-5,Part 106,Crosscut,326844,83,15627,PO #00106,,
18-104,Project One,0,Part 107,Pacer,891246,5,3214,PO #00107,,
18-104,Project One,-3,Part 108,Expeditors,415439,2,22662,PO #00108,,
18-104,Project One,-10,Part 109,Souers,887502,56,4973,PO #00109,,
18-104,Project One,-10,Part 110,Home Depot,908726,84,6137,PO #00110,,
18-104,Project One,-4,Part 111,Global Industrial,233864,52,5860,PO #00111,,
18-104,Project One,-2,Part 112,Crosscut,401750,32,13781,PO #00112,,
18-104,Project One,-8,Part 113,Pacer,108691,83,9413,PO #00113,,
18-104,Project One,-3,Part 114,Expeditors,557952,13,5204,PO #00114,,
18-104,Project One,-7,Part 115,Souers,510319,38,19618,PO #00115,,
18-104,Project One,-8,Part 116,Home Depot,193413,35,5898,PO #00116,,
18-104,Project One,-4,Part 117,Global Industrial,168299,96,14491,PO #00117,,
18-104,Project One,-8,Part 118,Crosscut,432553,76,19464,PO #00118,,
18-104,Project One,-2,Part 119,Pacer,145653,62,19603,PO #00119,,
18-104,Project One,-9,Part 120,Expeditors,134973,70,9043,PO #00120,,
18-104,Project One,-4,Part 121,Souers,666799,57,12821,PO #00121,,
18-104,Project One,-4,Part 122,Crosscut,485535,50,20778,PO #00122,,
18-104,Project One,-10,Part 123,Pacer,922054,68,9210,PO #00123,,
18-104,Project One,-2,Part 124,Expeditors,114196,80,24488,PO #00124,,
19-104,Projec Two,-9,Part 125,Souers,597547,55,11618,PO #00125,,
19-104,Projec Two,-3,Part 126,Home Depot,752266,88,24492,PO #00126,,
19-104,Projec Two,-2,Part 127,Souers,350394,62,13738,PO #00127,,
19-104,Projec Two,-8,Part 128,Home Depot,770873,64,12446,PO #00128,,
19-104,Projec Two,-8,Part 129,McMaster-Carr,534888,57,24072,PO #00129,,
19-104,Projec Two,-10,Part 130,Amazon,625774,15,24620,PO #00130,,
19-104,Projec Two,-7,Part 131,Global Industrial,543695,40,4933,PO #00131,,
19-104,Projec Two,-1,Part 132,Crosscut,984220,24,13782,PO #00132,,
19-104,Projec Two,-8,Part 133,Pacer,386847,91,18753,PO #00133,,
19-104,Projec Two,-10,Part 134,Expeditors,126351,72,12900,PO #00134,,
19-104,Project Two,-7,Part 135,McMaster-Carr,733849,100,12143,PO #00135,,
19-104,Project Two,-1,Part 136,Amazon,816514,15,7098,PO #00136,,
19-104,Project Two,-10,Part 137,Global Industrial,495811,37,16318,PO #00137,,
19-104,Project Two,-6,Part 138,Crosscut,297729,80,10619,PO #00138,,
19-104,Project Two,-8,Part 139,Pacer,432795,43,7848,PO #00139,,
19-104,Project Two,-7,Part 140,Global Industrial,832633,88,16212,PO #00140,,
19-104,Project Two,-1,Part 141,Crosscut,715932,50,22784,PO #00141,,
19-104,Project Two,-2,Part 142,Pacer,867457,96,1295,PO #00142,,
19-104,Project Two,-3,Part 143,Expeditors,656866,36,2090,PO #00143,,
19-104,Project Two,-6,Part 144,Scuffmaster,306317,81,2874,PO #00144,,
19-104,Project Two,0,Part 145,Chemetal,898717,77,14835,PO #00145,,
19-104,Project Two,0,Part 146,Souers,105362,86,8236,PO #00146,,
19-104,Project Two,-9,Part 147,McMaster-Carr,966882,75,21226,PO #00147,,
19-104,Project Two,-1,Part 148,Amazon,225828,43,10661,PO #00148,,
19-104,Project Two,-6,Part 149,Global Industrial,377910,93,785,PO #00149,,
19-104,Project Two,-7,Part 150,Crosscut,392373,75,7896,PO #00150,,
19-104,Project Two,-1,Part 151,Global Industrial,783842,76,10871,PO #00151,,
19-104,Project Two,-8,Part 152,Crosscut,425580,59,23488,PO #00152,,
19-104,Project Two,0,Part 153,Pacer,353067,15,16762,PO #00153,,
19-104,Project Two,-1,Part 154,Expeditors,734497,13,14689,PO #00154,,
19-104,Project Two,-4,Part 155,McMaster-Carr,934395,27,12137,PO #00155,,
19-104,Project Two,-1,Part 156,Amazon,567112,68,5175,PO #00156,,
19-104,Project Two,-9,Part 157,Crosscut,120281,55,8624,PO #00157,,
19-104,Project Two,-4,Part 158,Pacer,281245,81,9343,PO #00158,,
19-104,Project Two,-3,Part 159,Global Industrial,268408,0,11904,PO #00159,,
19-104,Project Two,-5,Part 160,Crosscut,116825,2,11586,PO #00160,,
19-104,Project Two,-3,Part 161,Pacer,335126,34,8802,PO #00161,,
19-104,Project Two,-4,Part 162,Expeditors,288608,42,6755,PO #00162,,
19-104,Project Two,-8,Part 163,McMaster-Carr,268198,54,17279,PO #00163,,
19-104,Project Two,-10,Part 164,Amazon,289601,5,21834,PO #00164,,
19-104,Project Two,-7,Part 165,McMaster-Carr,667223,74,6661,PO #00165,,
19-104,Project Two,-3,Part 166,Amazon,711190,29,23855,PO #00166,,
19-104,Project Two,-7,Part 167,Global Industrial,153461,65,24621,PO #00167,,
19-104,Project Two,-4,Part 168,Crosscut,955512,41,8406,PO #00168,,
19-104,Project Two,-5,Part 169,Pacer,407318,94,3881,PO #00169,,
19-104,Project Two,-1,Part 170,Expeditors,844662,54,13214,PO #00170,,
19-104,Project Two,-3,Part 171,McMaster-Carr,400255,43,8710,PO #00171,,
19-104,Project Two,-4,Part 172,Amazon,597138,71,13364,PO #00172,,
19-104,Project Two,-9,Part 173,Global Industrial,632033,59,5249,PO #00173,,
19-104,Project Two,-1,Part 174,Crosscut,489233,9,997,PO #00174,,
19-104,Project Two,-6,Part 175,Pacer,242453,4,22510,PO #00175,,
19-104,Project Two,-5,Part 176,Global Industrial,654236,67,4118,PO #00176,,
19-104,Project Two,-7,Part 177,Crosscut,950244,35,18752,PO #00177,,
19-104,Project Two,0,Part 178,Pacer,490023,49,5063,PO #00178,,
19-104,Project Two,-2,Part 179,Expeditors,758390,43,18459,PO #00179,,
19-104,Project Two,-3,Part 180,McMaster-Carr,350859,59,10110,PO #00180,,
19-104,Project Two,-1,Part 181,Amazon,671520,53,20838,PO #00181,,
19-104,Project Two,-9,Part 182,Global Industrial,643112,39,11906,PO #00182,,
19-104,Project Two,-8,Part 183,Crosscut,719599,79,13923,PO #00183,,
19-104,Project Two,-1,Part 184,Pacer,602238,5,10676,PO #00184,,
19-104,Project Two,-6,Part 185,Expeditors,508200,89,2794,PO #00185,,
19-104,Project Two,-3,Part 186,McMaster-Carr,942948,78,9435,PO #00186,,
19-104,Project Two,-9,Part 187,Amazon,377328,23,15588,PO #00187,,
19-104,Project Two,-3,Part 188,Global Industrial,439687,52,10333,PO #00188,,
19-104,Project Two,-1,Part 189,Crosscut,841311,87,4650,PO #00189,,
19-104,Project Two,-6,Part 190,Pacer,416231,2,4416,PO #00190,,
19-104,Project Two,-7,Part 191,Global Industrial,605167,15,9112,PO #00191,,
19-104,Project Two,-8,Part 192,Crosscut,382266,50,18165,PO #00192,,
19-104,Project Two,-5,Part 193,Pacer,525905,21,10850,PO #00193,,
19-104,Project Two,-3,Part 194,Expeditors,545961,69,10845,PO #00194,,
19-104,Project Two,-3,Part 195,McMaster-Carr,501708,29,1939,PO #00195,,
19-104,Project Two,-2,Part 196,Amazon,517519,21,14225,PO #00196,,
19-104,Project Two,-10,Part 197,Global Industrial,216898,75,7820,PO #00197,,
19-104,Project Two,-9,Part 198,Crosscut,192660,4,5926,PO #00198,,
19-104,Project Two,-7,Part 199,Pacer,878078,43,17237,PO #00199,,
19-104,Project Two,-5,Part 200,Expeditors,283222,50,9614,PO #00200,,
19-104,Project Two,-4,Part 201,McMaster-Carr,745116,63,728,PO #00201,,
19-104,Project Two,-4,Part 202,Amazon,356538,76,23631,PO #00202,,
19-104,Project Two,-9,Part 203,Global Industrial,661616,27,10364,PO #00203,,
19-104,Project Two,-7,Part 204,Crosscut,960917,6,18198,PO #00204,,
19-104,Project Two,-7,Part 205,Pacer,244296,38,9529,PO #00205,,
19-104,Project Two,-9,Part 206,Global Industrial,510778,93,7828,PO #00206,,
19-104,Project Two,-6,Part 207,Crosscut,729933,74,24475,PO #00207,,
19-104,Project Two,-8,Part 208,Pacer,205949,99,14600,PO #00208,,
19-104,Project Two,-7,Part 209,Expeditors,323666,65,6067,PO #00209,,
19-104,Project Two,-8,Part 210,McMaster-Carr,226264,11,14853,PO #00210,,
19-104,Project Two,-7,Part 211,Amazon,287657,85,2764,PO #00211,,
19-104,Project Two,-4,Part 212,Global Industrial,802975,75,2508,PO #00212,,
19-104,Project Two,0,Part 213,Crosscut,746892,39,7493,PO #00213,,
19-104,Project Two,-3,Part 214,Pacer,928476,94,7445,PO #00214,,
19-104,Project Two,-8,Part 215,Expeditors,718473,45,9008,PO #00215,,
19-104,Project Two,-3,Part 216,McMaster-Carr,213547,87,21468,PO #00216,,
19-104,Project Two,-7,Part 217,Amazon,915522,92,22056,PO #00217,,
19-104,Project Two,-3,Part 218,Global Industrial,773840,56,23335,PO #00218,,
19-104,Project Two,0,Part 219,Crosscut,405053,81,12709,PO #00219,,
19-104,Project Two,0,Part 220,Pacer,395242,94,14270,PO #00220,,
19-104,Project Two,-2,Part 221,Global Industrial,332683,52,20279,PO #00221,,
19-104,Project Two,-10,Part 222,Crosscut,167826,57,11807,PO #00222,,
19-104,Project Two,-6,Part 223,Pacer,198678,82,19881,PO #00223,,
19-104,Project Two,-9,Part 224,Expeditors,373265,41,22786,PO #00224,,
19-104,Project Two,-1,Part 225,Souers,853112,46,13383,PO #00225,,
19-104,Project Two,0,Part 226,Home Depot,738864,71,1989,PO #00226,,
19-104,Project Two,-6,Part 227,Global Industrial,764642,6,24438,PO #00227,,
19-104,Project Two,-4,Part 228,Crosscut,153071,81,5736,PO #00228,,
19-104,Project Two,-4,Part 229,Pacer,116549,58,16366,PO #00229,,
19-104,Project Two,-3,Part 230,Expeditors,555849,72,19673,PO #00230,,
19-104,Project Two,-10,Part 231,Souers,492724,66,19760,PO #00231,,
19-104,Project Two,-6,Part 232,Home Depot,195697,0,24867,PO #00232,,
19-104,Project Two,-8,Part 233,Global Industrial,962385,40,9801,PO #00233,,
19-104,Project Two,-8,Part 234,Crosscut,718823,7,10392,PO #00234,,
19-104,Project Two,-5,Part 235,Pacer,462925,5,12277,PO #00235,,
19-104,Project Two,-5,Part 236,Expeditors,535850,76,10512,PO #00236,,
19-104,Project Two,-3,Part 237,Souers,424408,96,609,PO #00237,,
19-104,Project Two,-2,Part 238,Home Depot,480491,31,1893,PO #00238,,
19-104,Project Two,-4,Part 239,Global Industrial,592680,65,10377,PO #00239,,
19-104,Project Two,-6,Part 240,Crosscut,347970,8,16360,PO #00240,,
19-104,Project Two,-6,Part 241,Pacer,163600,22,12255,PO #00241,,
19-104,Project Two,-10,Part 242,Expeditors,874304,52,21835,PO #00242,,
19-104,Project Two,-10,Part 243,Souers,175731,26,23960,PO #00243,,
19-104,Project Two,-4,Part 244,Home Depot,245118,88,21891,PO #00244,,
19-104,Project Two,0,Part 245,Global Industrial,475158,22,16141,PO #00245,,
19-104,Project Two,-4,Part 246,Crosscut,350487,76,3076,PO #00246,,
19-104,Project Two,0,Part 247,Pacer,956073,99,15221,PO #00247,,
19-104,Project Two,-1,Part 248,Expeditors,503881,75,21216,PO #00248,,
19-104,Project Two,-4,Part 249,Souers,742592,59,12460,PO #00249,,
